date,sku_name,product_id,merchant_code,merchant_badge,product_type,merchant_city,cod,price,stock,daily_gmv,daily_sold,daily_view,rating,total_review,total_sold
3/28/2020,ASUS ZENFONE LIVE L2 2GB/16GB GARANSI RESMI,D820,1309,PM,Asus ZenFone Live (L2),Kota Malang,TRUE,999000,7,0,0,6,100,14,40
3/18/2020,asus zenfone live L2,E1563,1074,PM,Asus ZenFone Live (L2),Kota Semarang,FALSE,1255000,13,33885000,27,63,100,33,199
3/23/2020,Asus Zenfone Live L2 Ram 2/16gb Garansi Resmi - Biru,D821,1221,PM,Asus ZenFone Live (L2),Kota Tangerang Selatan,TRUE,890000,3,2670000,3,54,100,21,96
3/23/2020,Asus Zenfone Live L2 Resmi,E1564,1368,PM,Asus ZenFone Live (L2),Kota Yogyakarta,FALSE,1250000,1,0,0,0,100,3,12
3/28/2020,asus zenfone live l2 - Biru,F1407,1638,PM,Asus ZenFone Live (L2),Kota Tangerang,TRUE,900000,6,0,0,3,100,1,14
3/28/2020,Asus Zenfone Live L2 2/16 New Garansi Resmi - Biru,D823,1230,PM,Asus ZenFone Live (L2),Kota Medan,TRUE,958000,44,0,0,4,98,11,42
3/30/2020,Asus Zenfone Live L2 Ram 2/16gb Garansi Resmi - Biru,D821,1221,PM,Asus ZenFone Live (L2),Kota Tangerang Selatan,TRUE,890000,2,0,0,45,100,21,97
3/18/2020,asus zenfone live L2,E1565,1899,PM,Asus ZenFone Live (L2),Kota Medan,FALSE,2000000,999998,0,0,14,100,27,30
3/28/2020,Asus Zenfone Live L2 2/16GB - Biru,G203,1672,PM,Asus ZenFone Live (L2),Kota Bandung,TRUE,879900,2,2639700,3,49,98,19,90
3/11/2020,Asus Zenfone Live L2 Ram 2/16 Garansi Resmi Tam,D824,1133,PM,Asus ZenFone Live (L2),Kota Jambi,FALSE,1030000,999989,0,0,0,98,37,95
3/31/2020,ASUS ZENFONE LIVE L2 2GB/16GB GARANSI RESMI,D820,1309,PM,Asus ZenFone Live (L2),Kota Malang,TRUE,999000,7,0,0,11,100,14,40
3/27/2020,Asus Zenfone 5 ZE620KL 4/64 - Midnight Blue,B340,2349,PM,Asus Zenfone 5 ZE620KL,Kab. Bandung,FALSE,4000000,999784,0,0,9,100,9,285
3/31/2020,"ASUS ZENFONE 5 ZE620KL 4/64 GARANSI RESMI 1 TAHUN (SILVER,MIDBLUE)",D825,1348,PM,Asus Zenfone 5 ZE620KL,Kota Medan,FALSE,4000000,999880,0,0,7,100,32,125
3/23/2020,ASUS ZENFONE 5 4/64 ZE620KL- Midnight blue - Perak,D826,1427,PM,Asus Zenfone 5 ZE620KL,Kota Administrasi Jakarta Barat,FALSE,2049000,1,16392000,8,1299,99,328,566
3/30/2020,Asus Zenfone 5 ZE620KL 4/64 - Midnight Blue,B340,2349,PM,Asus Zenfone 5 ZE620KL,Kab. Bandung,FALSE,4000000,999783,0,0,13,100,9,286
3/26/2020,Asus Zenfone 5 ZE620KL 4/64 - Midnight Blue,B340,2349,PM,Asus Zenfone 5 ZE620KL,Kab. Bandung,FALSE,4000000,999784,0,0,11,100,9,285
3/18/2020,ASUS ZENFONE 5 4/64 ZE620KL- Midnight blue - Hitam,D827,1427,PM,Asus Zenfone 5 ZE620KL,Kota Administrasi Jakarta Barat,FALSE,2150000,3,0,0,0,99,325,561
3/23/2020,ASUS ZENFONE 5 garansi RESMI ZE620KL - Perak,C578,1262,PM,Asus Zenfone 5 ZE620KL,Kota Administrasi Jakarta Utara,FALSE,4010000,999922,0,0,0,100,6,147
3/26/2020,Asus Zenfone 5 ZE620KL 4/64 Garansi Resmi Asus-METEOR-SILVER,C579,2268,PM,Asus Zenfone 5 ZE620KL,Kota Administrasi Jakarta Selatan,FALSE,2190000,1,0,0,15,100,7,17
3/23/2020,ASUS ZENFONE 5 ZE620KL RESMI ORIGINAL ZE 620 KL ZEN5 - Perak,C580,1054,PM,Asus Zenfone 5 ZE620KL,Kota Administrasi Jakarta Pusat,FALSE,2199000,2,0,0,590,100,23,67
3/24/2020,ASUS ZENFONE 5 4/64 ZE620KL- Midnight blue - Perak,D826,1427,PM,Asus Zenfone 5 ZE620KL,Kota Administrasi Jakarta Barat,FALSE,2075000,1,-2075000,-1,192,99,328,565
3/18/2020,ASUS ZENFONE 5 ZE620KL RESMI ORIGINAL ZE 620 KL ZEN5 - Perak,C580,1054,PM,Asus Zenfone 5 ZE620KL,Kota Administrasi Jakarta Pusat,FALSE,2299000,2,2299000,1,997,100,23,67
3/29/2020,ASUS ZENFONE 5 4/64 ZE620KL- Midnight blue - Perak,D826,1427,PM,Asus Zenfone 5 ZE620KL,Kota Administrasi Jakarta Barat,FALSE,2075000,3,-4150000,-2,176,99,332,571
3/18/2020,"ASUS ZENFONE 5 ZE620KL 4/64 GARANSI RESMI 1 TAHUN (SILVER,MIDBLUE)",D825,1348,PM,Asus Zenfone 5 ZE620KL,Kota Medan,FALSE,4000000,999882,0,0,52,100,32,123
3/18/2020,ASUS ZENFONE 6 ZS630KL 6/128GB - SILVER,F1408,1427,PM,Asus Zenfone 6 ZS630KL,Kota Administrasi Jakarta Barat,FALSE,7195000,5,14390000,2,1509,99,90,140
3/31/2020,samsung galaxy A2 core,E1566,2350,PM,Samsung Galaxy A2 Core,Kota Administrasi Jakarta Barat,FALSE,1250000,999901,5000000,4,19,100,25,112
3/26/2020,Samsung Galaxy A2 Core SM-A260 - ROM 8 GB - RAM 1 GB - Garansi Resmi - Abu-abu,D828,1517,PM,Samsung Galaxy A2 Core,Kota Administrasi Jakarta Utara,FALSE,1015000,4,6090000,6,14,100,67,478
3/24/2020,samsung galaxy A2 core,E1566,2350,PM,Samsung Galaxy A2 Core,Kota Administrasi Jakarta Barat,FALSE,1250000,999917,0,0,3,100,21,96
3/30/2020,SAMSUNG A2 CORE RAM 1/8GB GARANSI RESMI 1THN,E1567,1272,PM,Samsung Galaxy A2 Core,Kab. Kediri,FALSE,1010000,3,0,0,7,100,6,31
3/24/2020,SAMSUNG Galaxy A2 Core (2019) 1/8 - 1GB / 8GB - Garansi Resmi SEIN - DARK GRAY,D829,2167,PM,Samsung Galaxy A2 Core,Kota Administrasi Jakarta Barat,FALSE,1015000,2,0,0,2,99,33,288
3/23/2020,Samsung Galaxy A2 Core Garansi Resmi,E1568,1644,PM,Samsung Galaxy A2 Core,Kota Surabaya,FALSE,1015000,10,0,0,96,100,24,206
3/30/2020,SAMSUNG Galaxy A2 Core (2019) 1/8 - 1GB / 8GB - Garansi Resmi SEIN - RED,D830,2167,PM,Samsung Galaxy A2 Core,Kota Administrasi Jakarta Barat,FALSE,1015000,1,0,0,8,99,33,290
3/25/2020,Samsung Galaxy A2 Core - Abu-abu,E1569,2155,PM,Samsung Galaxy A2 Core,Kota Administrasi Jakarta Pusat,FALSE,1100000,67,0,0,9,100,125,392
3/24/2020,Samsung Galaxy A2 Core Garansi resmi sein - Hitam,G204,880,PM,Samsung Galaxy A2 Core,Kota Administrasi Jakarta Barat,FALSE,1020000,999986,0,0,23,98,30,233
3/11/2020,Samsung Galaxy A2 Core Garansi resmi sein - Hitam,G204,880,PM,Samsung Galaxy A2 Core,Kota Administrasi Jakarta Barat,FALSE,1020000,999997,0,0,0,97,28,222
3/26/2020,Samsung Galaxy A2 Core Ram 1/8Gb - Garansi Resmi Sein 1 Tahun-New - Random,F1409,1269,PM,Samsung Galaxy A2 Core,Kab. Tangerang,FALSE,1019000,19,1019000,1,8,100,6,75
3/25/2020,SAMSUNG A2 CORE RAM 1/8GB GARANSI RESMI 1THN,E1567,1272,PM,Samsung Galaxy A2 Core,Kab. Kediri,FALSE,1010000,3,0,0,7,100,6,31
3/31/2020,SAMSUNG GALAXY A2 CORE 2019,D831,953,PM,Samsung Galaxy A2 Core,Kab. Bekasi,FALSE,1025000,3,0,0,14,100,9,33
3/28/2020,Samsung Galaxy A2 core,E1570,2351,PM,Samsung Galaxy A2 Core,Kota Administrasi Jakarta Barat,FALSE,1030000,19,0,0,63,100,7,61
3/30/2020,Samsung Galaxy A2 CORE Garansi Resmi. - Abu-abu,G205,1844,PM,Samsung Galaxy A2 Core,Kota Administrasi Jakarta Utara,FALSE,1012000,6,0,0,18,98,111,902
3/24/2020,SAMSUNG GALAXY A2 CORE 2019,D831,953,PM,Samsung Galaxy A2 Core,Kab. Bekasi,FALSE,1025000,3,0,0,0,100,9,33
3/18/2020,samsung a2 core sein resmi,D832,2352,PM,Samsung Galaxy A2 Core,Kota Administrasi Jakarta Barat,FALSE,1014999,3,12179988,12,267,99,62,362
3/29/2020,Samsung Galaxy Fold 5G 512GB single sim BNIB dr korea Warna Black,E1571,2353,PM,Samsung Galaxy Fold 5G,Kab. Tangerang,FALSE,24500000,2,0,0,0,100,11,24
3/30/2020,samsung j2 new,A306,1342,PM,Samsung Galaxy J2 Core,Kota Semarang,FALSE,1725000,999720,0,0,4,97,8,283
3/24/2020,samsung galaxy note 8 6/64 garansi sein 1th,B278,343,PM,Samsung Galaxy Note FE,Kota Administrasi Jakarta Barat,FALSE,7398000,9996,0,0,27,96,87,149
3/23/2020,Samsung Galaxy Note FE Ram 3/32 Gb,E1572,1328,PM,Samsung Galaxy Note FE,Kota Administrasi Jakarta Barat,FALSE,4976000,160,4976000,1,146,100,20,20
3/11/2020,(NEW) SAMSUNG Galaxy Note 9 512GB 512 RAM 8 GB Garansi 1 Tahun SEGEL,C581,2354,PM,Samsung Galaxy Note FE,Kota Administrasi Jakarta Barat,FALSE,13250000,999999,0,0,0,100,32,69
3/11/2020,SAMSUNG GALAXY NOTE 8 RESMI SEIN / SPEAKER AKG GARANSI RESMI SEIN - Hitam,C582,2355,PM,Samsung Galaxy Note FE,Kota Administrasi Jakarta Pusat,FALSE,7699900,1,0,0,0,99,66,96
3/30/2020,SAMSUNG GALAXY NOTE 8,D833,1251,PM,Samsung Galaxy Note FE,Kota Administrasi Jakarta Barat,FALSE,8300000,8,0,0,20,100,6,98
3/18/2020,Samsung Galaxy NOTE 9 128GB Garansi Samsung Indonesia. BNIB - SEGEL,C353,739,PM,Samsung Galaxy Note FE,Kota Surabaya,FALSE,11800000,1,0,0,38,100,30,45
3/27/2020,Samsung Galaxy Note 9 Blue 8GB/512GB RESMI SEIN,F1410,2357,PM,Samsung Galaxy Note FE,Kota Administrasi Jakarta Utara,FALSE,9088000,3,0,0,58,100,9,12
3/26/2020,Samsung Galaxy S6 Edge 3/64GB - BNIB Old Stock Resmi SEIN,F1411,2358,PM,Samsung Galaxy S6 edge,Kota Administrasi Jakarta Utara,FALSE,2650000,3,0,0,27,100,2,2
3/24/2020,Samsung Galaxy S6 Edge 3/64GB - BNIB Old Stock Resmi SEIN,F1411,2358,PM,Samsung Galaxy S6 edge,Kota Administrasi Jakarta Utara,FALSE,2650000,3,0,0,33,100,2,2
3/23/2020,Samsung S6 Edge - 3/64GB - Resmi Samsung,D834,2359,PM,Samsung Galaxy S6 edge,Kota Administrasi Jakarta Utara,FALSE,2550000,12,0,0,0,100,12,19
3/28/2020,Samsung S6 Edge - 3/64GB - Resmi Samsung,D834,2359,PM,Samsung Galaxy S6 edge,Kota Administrasi Jakarta Utara,FALSE,2550000,10,0,0,65,100,14,21
3/18/2020,Samsung Galaxy S7 edge Black Onyx 4/32gb BNIB Garansi Resmi SEIN - Silver Titanium,E1573,1176,PM,Samsung Galaxy S7 edge,Kota Administrasi Jakarta Timur,FALSE,4500000,5,0,0,120,99,257,400
3/11/2020,Samsung Galaxy S7 Edge Black Onyx Garnsi Resmi 4/32 SEIN 1 Tahun BNIB. - Merah Muda,C583,2360,PM,Samsung Galaxy S7 edge,Kota Administrasi Jakarta Selatan,FALSE,4199000,3,0,0,0,99,74,123
3/11/2020,Asus Zenfone 5z 8/128gb - Biru,F1412,1904,PM,Asus Zenfone 5z ZS620KL,Kota Tangerang,FALSE,7000000,111,0,0,0,100,44,57
3/18/2020,Asus Zenfone 5z 8/128gb - Biru,F1412,1904,PM,Asus Zenfone 5z ZS620KL,Kota Tangerang,FALSE,7000000,110,35000000,5,140,100,47,62
